"LABEL","ORDER_SEQ_ID","ORDER_TYPE_ID","ORD_CREATION_DATE","ORD_START_DATE","ORD_COMPLETION_DATE","REQUESTED_DELIVERY_DATE","DB_INSTANCE","ORD_STATE_ID","ORD_TXN_START_DATE","ORD_TXN_COMPLETION_DATE","ORD_TXN_REASON","VERSION","CREATION_VIEW_ID","STATE_ID","DATE_POS_STARTED","USERNAME","TASK_ID","TASK_TYPE","AUTHOR","COORD_SET_ID","EXECUTION_MODE"
"ACCEPT",4262326,10000,20/03/26,20/03/26,99/12/31,20/03/26,1,5,20/03/26,20/03/26,"Order Amended",1,10212,2,20/03/26,"oms-automation",10110,"A","oms-automation",1016361142,"U"
"ACCEPT",4265736,10000,20/03/27,20/03/27,99/12/31,20/03/27,1,5,20/03/27,20/03/27,"Order Amended",1,10212,2,20/03/27,"oms-automation",10110,"A","oms-automation",1016386418,"U"
"ACCEPT",4265844,10000,20/03/27,20/03/27,99/12/31,20/03/27,1,5,20/04/24,20/04/24,"Order Amended",1,10212,2,20/04/24,"oms-automation",10097,"A","oms-automation",1016387000,"U"
"ACCEPT",4267022,10000,20/04/16,20/04/16,99/12/31,20/04/16,1,4,20/04/16,20/04/16,"Order submitted",1,10212,2,20/04/16,"oms-automation",10157,"A","oms-automation",1016399379,"D"
"ACCEPT",4267030,10000,20/04/16,20/04/16,99/12/31,20/04/16,1,4,20/04/16,20/04/16,"Order submitted",1,10212,2,20/04/16,"oms-automation",10157,"A","oms-automation",1016399423,"D"
"ACCEPT",4267038,10000,20/04/16,20/04/16,99/12/31,20/04/16,1,4,20/04/16,20/04/16,"Order submitted",5,10212,2,20/04/16,"oms-automation",10157,"A","oms-automation",1016399436,"D"
"ACCEPT",4267042,10000,20/04/16,20/04/16,99/12/31,20/04/16,1,4,20/04/16,20/04/16,"Order submitted",2,10212,2,20/04/16,"oms-automation",10157,"A","oms-automation",1016399462,"D"
"ACCEPT",4267044,10000,20/04/16,20/04/16,99/12/31,20/04/16,1,4,20/04/16,20/04/16,"Order submitted",5,10212,2,20/04/16,"oms-automation",10157,"A","oms-automation",1016399496,"D"
"ACCEPT",4267048,10000,20/04/16,20/04/16,99/12/31,20/04/16,1,4,20/04/16,20/04/16,"Order submitted",6,10212,2,20/04/16,"oms-automation",10157,"A","oms-automation",1016399517,"D"
"ACCEPT",4267050,10000,20/04/16,20/04/16,99/12/31,20/04/16,1,4,20/04/16,20/04/16,"Order submitted",6,10212,2,20/04/17,"oms-automation",10157,"A","oms-automation",1016399543,"D"
"ACCEPT",4267052,10000,20/04/16,20/04/16,99/12/31,20/04/16,1,4,20/04/16,20/04/16,"Compensation of order[4267052] from amendmentId[-1] is complete and there are no queued amendments. Order can now resume to open.running.in_progress state.",5,10212,2,20/04/16,"oms-automation",10157,"A","oms-automation",1016399549,"D"
"ACCEPT",4267056,10000,20/04/16,20/04/16,99/12/31,20/04/16,1,4,20/04/16,20/04/16,"Order submitted",3,10212,2,20/04/16,"oms-automation",10157,"A","oms-automation",1016399581,"D"
"ACCEPT",4267124,10000,20/04/17,20/04/17,99/12/31,20/04/17,1,4,20/04/17,20/04/17,"Order submitted",1,10212,2,20/04/17,"oms-automation",10157,"A","oms-automation",1016399948,"D"
"ACCEPT",4267126,10000,20/04/17,20/04/17,99/12/31,20/04/17,1,4,20/04/17,20/04/17,"Order submitted",1,10212,2,20/04/17,"oms-automation",10157,"A","oms-automation",1016399978,"D"
"ACCEPT",4267128,10000,20/04/17,20/04/17,99/12/31,20/04/17,1,4,20/04/17,20/04/17,"Order submitted",2,10212,2,20/04/17,"oms-automation",10157,"A","oms-automation",1016399980,"D"
"ACCEPT",4267130,10000,20/04/17,20/04/17,99/12/31,20/04/17,1,4,20/04/17,20/04/17,"Order submitted",3,10212,2,20/04/17,"oms-automation",10157,"A","oms-automation",1016399998,"D"
"ACCEPT",4267132,10000,20/04/17,20/04/17,99/12/31,20/04/17,1,4,20/04/17,20/04/17,"Order submitted",1,10212,2,20/04/17,"oms-automation",10157,"A","oms-automation",1016400020,"D"
"ACCEPT",4267134,10000,20/04/17,20/04/17,99/12/31,20/04/17,1,4,20/04/17,20/04/17,"Compensation of order[4267134] from amendmentId[-1] is complete and there are no queued amendments. Order can now resume to open.running.in_progress state.",3,10212,2,20/04/17,"oms-automation",10157,"A","oms-automation",1016400036,"D"
"ACCEPT",4267138,10000,20/04/17,20/04/17,99/12/31,20/04/17,1,4,20/04/17,20/04/17,"Order submitted",1,10212,2,20/04/17,"oms-automation",10157,"A","oms-automation",1016400044,"D"
